month,avg_temperature_c,heating_degree_days,cooling_degree_days,precipitation_mm,avg_max_wind_kmh
2021-02-01,12.452857142857145,155.32000000000002,0.0,50.75999999999999,17.155
2021-03-01,12.518709677419356,169.91999999999996,0.0,36.900000000000006,15.029032258064516
2021-04-01,14.319333333333335,110.41999999999996,0.0,58.220000000000006,14.891333333333332
2021-05-01,18.23548387096774,23.219999999999988,0.0,30.920000000000005,16.329032258064515
2021-06-01,22.216,0.0,23.240000000000016,50.339999999999996,15.838666666666667
2021-07-01,24.60645161290323,0.0,80.80000000000007,21.6,16.472903225806455
2021-08-01,24.86903225806452,0.0,89.48000000000003,18.7,14.947741935483874
2021-09-01,22.27933333333333,0.0,25.840000000000025,85.8,14.264666666666667
2021-10-01,18.040000000000003,19.079999999999984,0.0,57.46,13.44258064516129
2021-11-01,11.943333333333333,182.45999999999998,0.0,89.56,15.494666666666665
2021-12-01,11.44,203.36,0.0,65.07999999999998,16.161935483870966
2022-01-01,8.898709677419355,282.14,0.0,24.3,12.889677419354838
2022-02-01,11.370000000000001,185.64,0.0,16.1,13.361428571428572
2022-03-01,12.409032258064515,173.31999999999996,0.0,145.76,18.44193548387097
2022-04-01,14.16733333333333,115.07999999999998,0.0,78.40000000000002,17.67666666666667
2022-05-01,19.98516129032258,9.359999999999992,6.04000000000001,27.82,15.310967741935483
2022-06-01,23.777333333333335,0.0,55.76000000000003,22.040000000000003,16.522000000000002
2022-07-01,26.949032258064523,0.0,153.42000000000007,12.359999999999996,15.841290322580646
2022-08-01,26.34451612903226,0.0,134.68000000000006,30.6,16.067741935483873
2022-09-01,22.598666666666666,0.5999999999999979,39.620000000000026,50.44,15.972666666666669
2022-10-01,20.330322580645166,0.0,0.0,37.120000000000005,13.91290322580645
2022-11-01,14.824000000000003,95.63999999999996,0.0,57.56000000000002,16.74
2022-12-01,12.500000000000002,170.49999999999997,0.0,77.0,14.750967741935487
2023-01-01,9.340645161290322,268.43999999999994,0.0,51.84,16.34193548387097
2023-02-01,9.404285714285717,240.68,0.0,30.88,13.78857142857143
2023-03-01,14.361290322580647,113.01999999999998,0.0,14.879999999999999,17.04387096774193
2023-04-01,17.064000000000007,43.259999999999984,0.0,18.999999999999996,16.281333333333336
2023-05-01,18.694193548387098,9.219999999999985,0.0,59.13999999999999,15.685806451612903
2023-06-01,23.662666666666663,0.0,58.180000000000035,49.92,14.590666666666664
2023-07-01,26.208387096774196,0.0,130.46000000000006,15.139999999999999,15.841935483870968
2023-08-01,26.554193548387097,0.0,141.18000000000004,30.12,15.774838709677416
2023-09-01,22.556666666666665,0.0,27.380000000000024,86.44,14.067333333333336
2023-10-01,20.016774193548382,12.599999999999987,7.900000000000013,82.07999999999998,17.020645161290325
2023-11-01,14.724,98.93999999999996,0.0,55.33999999999999,17.29
2023-12-01,10.716774193548387,225.78,0.0,39.88000000000002,14.495483870967744
2024-01-01,11.232903225806451,209.77999999999992,0.0,52.98,14.741290322580646
2024-02-01,12.480689655172416,160.05999999999997,0.0,55.4,17.20344827586207
2024-03-01,13.50387096774194,139.37999999999997,0.0,79.58000000000001,18.994193548387095
2024-04-01,15.75,70.75999999999998,0.0,36.2,16.558
2024-05-01,18.57741935483871,18.439999999999987,1.8800000000000026,39.600000000000016,16.081290322580642
2024-06-01,21.990000000000002,0.0,17.86000000000002,47.400000000000006,16.235333333333333
2024-07-01,25.789677419354845,0.0,117.48000000000008,17.659999999999997,15.406451612903227
2024-08-01,26.39161290322581,0.0,136.1400000000001,26.76,14.792903225806453
