date,demand_mwh,year,month,week,day_of_week,is_weekend,is_holiday,is_day_before_holiday,is_day_after_holiday,is_bridge_day,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_mm,wind_speed_max_kmh,solar_radiation_mj_m2,city_temperature_spread_c,temperature_range_c,heating_degree_days,cooling_degree_days,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,lag_1,lag_7,lag_14,lag_28,lag_364,rolling_mean_7,rolling_mean_28,rolling_mean_56,rolling_std_7,rolling_std_28,lag_1_minus_7
2020-01-24,821136.183,2020,1,4,4,False,False,False,False,False,10.000000000000002,13.040000000000001,7.94,6.000000000000001,10.96,6.056,5.300000000000001,5.1000000000000005,7.999999999999998,0.0,0.4012289854475009,0.9159777842484877,0.46324623590987735,0.8862296118474773,829427.103,807653.787,814759.827,674150.472,815349.834,800931.4970000001,747462.392,735715.3360178571,65484.72263291837,84806.12486454581,21773.31599999999
2020-01-25,734265.345,2020,1,4,5,True,False,False,False,False,10.3,12.600000000000001,8.24,5.540000000000001,10.8,4.376,4.8,4.360000000000001,7.699999999999999,0.0,0.4169258813287287,0.908940487313808,0.46324623590987735,0.8862296118474773,821136.183,729673.024,732531.725,646963.129,724205.323,802857.5535714285,752711.8816785713,736838.354125,65912.27210714963,84649.10532791379,91463.15899999999
2020-01-26,676369.262,2020,1,4,6,True,False,False,False,False,10.32,14.66,6.800000000000001,0.44000000000000006,11.56,10.044,5.5,7.859999999999999,7.68,0.0,0.4324994021339788,0.901634220265486,0.46324623590987735,0.8862296118474773,734265.345,689820.886,693449.101,617265.192,678249.362,803513.5994285715,755829.8179642857,737685.7530535714,65080.038697117605,82181.59457844496,44444.458999999915
2020-01-27,807615.701,2020,1,5,0,False,False,False,False,False,10.100000000000001,13.9,6.779999999999999,0.32,21.26,7.602,7.800000000000001,7.120000000000001,7.899999999999999,0.0,0.44794493940789115,0.8940611451454876,0.5663483478265068,0.8241659717036285,676369.262,846106.888,829157.906,689973.969,807644.379,801591.9388571429,757940.677607143,738173.9395357143,69072.74983528434,79195.50472436071,-169737.62600000005
2020-01-28,807001.677,2020,1,5,1,False,False,False,False,False,13.0,16.14,10.600000000000001,0.36000000000000004,16.9,6.0120000000000005,5.5,5.539999999999999,5.0,0.0,0.4632579225674917,0.88622350294858,0.5663483478265068,0.8241659717036285,807615.701,862132.604,844416.079,656514.303,832616.612,796093.1978571428,762142.1680357143,738735.7028928573,66419.52594921869,78574.31467276168,-54516.90300000005
2020-01-29,792162.501,2020,1,5,2,False,False,False,False,False,12.88,16.66,10.04,0.52,12.98,7.468000000000001,5.799999999999999,6.620000000000001,5.119999999999999,0.0,0.4784338202547012,0.8781236129591848,0.5663483478265068,0.8241659717036285,807001.677,841706.187,832910.293,574776.72,829785.386,788217.3511428571,767516.717107143,738966.5999285715,60267.33441806598,76192.3119739496,-34704.51000000001
2020-01-30,778203.546,2020,1,5,3,False,False,False,False,False,13.260000000000002,16.78,10.700000000000001,0.8,15.900000000000002,8.442,6.700000000000001,6.08,4.739999999999998,0.0,0.49346814167723735,0.8697638720650646,0.5663483478265068,0.8241659717036285,792162.501,829427.103,822827.255,723522.375,823510.841,781139.6817142857,775280.495,738778.0480892857,55672.80066216651,66252.38504842973,-37264.601999999955
2020-01-31,765448.598,2020,1,5,4,False,False,False,False,False,13.940000000000001,18.28,10.82,0.06,13.8,9.556000000000001,5.899999999999999,7.460000000000001,4.059999999999999,0.0,0.5083564379375122,0.8611467540480452,0.5663483478265068,0.8241659717036285,778203.546,821136.183,807653.787,754645.342,811408.357,773822.0307142857,777233.3939642857,738439.0472142857,51476.32809816566,65471.53031360641,-42932.63699999999
2020-02-01,681471.943,2020,2,5,5,True,False,False,False,False,15.400000000000002,19.78,12.020000000000001,0.8,15.14,8.97,4.700000000000001,7.76,2.599999999999998,0.0,0.5230943033491326,0.8522748088519838,0.5663483478265068,0.8241659717036285,765448.598,734265.345,729673.024,702390.878,739149.442,765866.6614285714,777619.2245357143,739839.7322678572,47059.083771397185,65365.23249072344,31183.253000000026
2020-02-02,625016.468,2020,2,5,6,True,False,False,False,False,15.360000000000001,20.54,12.16,0.0,13.760000000000002,11.238,6.700000000000001,8.379999999999999,2.639999999999999,0.0,0.5376773767406141,0.8431506618282,0.5663483478265068,0.8241659717036285,681471.943,676369.262,689820.886,651967.486,696029.792,758324.7468571429,776872.1197142858,739906.2829285715,56292.40055759496,66368.76069253589,5102.680999999982
2020-02-03,729329.082,2020,2,6,0,False,False,False,False,False,15.100000000000001,21.84,11.06,0.0,12.98,12.048000000000002,7.0,10.78,2.8999999999999986,0.0,0.5521013427459208,0.8337770129585915,0.6612486364356777,0.7501668086578858,625016.468,807615.701,846106.888,630259.532,827865.952,750988.6334285714,775909.5833571429,739406.3962500001,70345.18694178326,68411.32806018885,-182599.233
2020-02-04,747892.827,2020,2,6,1,False,False,False,False,False,13.940000000000001,20.36,9.4,1.0,13.18,10.638000000000002,7.5,10.959999999999999,4.059999999999999,0.0,0.5663619330814524,0.8241566360566663,0.6612486364356777,0.7501668086578858,729329.082,807001.677,862132.604,789031.621,826264.446,739804.8307142857,779447.7815714285,739367.6828571429,65926.27351763219,62942.7260908917,-77672.59499999997
2020-02-05,758987.788,2020,2,6,2,False,False,False,False,False,11.36,15.74,7.5600000000000005,0.0,12.360000000000001,11.622,8.0,8.18,6.640000000000001,0.0,0.580454927809098,0.8142923779467267,0.6612486364356777,0.7501668086578858,747892.827,792162.501,841706.187,820143.678,813527.159,731360.7092857143,777978.5389285714,738536.8125535714,59341.5515831845,63190.38400788387,-44269.674
2020-02-06,769754.643,2020,2,6,3,False,False,False,False,False,10.52,15.780000000000001,6.340000000000001,0.0,12.780000000000001,11.454,7.3,9.440000000000001,7.48,0.0,0.5943761565849831,0.804187157621448,0.6612486364356777,0.7501668086578858,758987.788,778203.546,829427.103,820769.614,805445.154,726621.4645714286,775794.4,737623.9021964286,54829.57381009999,62734.25484816768,-19215.75800000003
2020-02-07,772488.589,2020,2,6,4,False,False,False,False,False,10.74,15.46,7.2,0.0,11.94,9.81,5.7,8.260000000000002,7.26,0.0,0.6081214998935418,0.7938439653781019,0.6612486364356777,0.7501668086578858,769754.643,765448.598,821136.183,814759.827,799019.676,725414.4784285714,773972.43675,736635.2036785715,53583.66547308218,62117.45240968988,4306.045000000042
2020-02-08,698199.59,2020,2,6,5,True,False,False,False,False,10.98,15.040000000000001,7.859999999999999,0.78,10.56,8.08,5.299999999999999,7.1800000000000015,7.02,0.0,0.6216868902665479,0.7832658619336791,0.6612486364356777,0.7501668086578858,772488.589,681471.943,734265.345,732531.725,719403.839,726420.1914285714,772462.7496785715,736256.839125,54518.217412393664,61600.97924718581,91016.64600000007
2020-02-09,646787.156,2020,2,6,6,True,False,False,False,False,11.98,16.1,7.98,0.0,15.34,9.808,6.7,8.120000000000001,6.02,0.0,0.6350683134867438,0.7724559775191742,0.6612486364356777,0.7501668086578858,698199.59,625016.468,676369.262,693449.101,672445.604,728809.8552857143,771236.6020000001,736154.0488928572,52550.769156586284,62756.086108769094,73183.12199999997
2020-02-10,749504.414,2020,2,7,0,False,False,False,False,False,14.280000000000001,20.36,10.16,0.0,14.5,12.22,7.100000000000001,10.2,3.719999999999999,0.0,0.6482618097757122,0.7614175109532997,0.7465727613654504,0.6653037742168356,646787.156,729329.082,807615.701,829157.906,781692.422,731919.9535714287,769570.1039642858,735914.18375,45563.96055388833,65459.57716135183,-82541.9260000001
2020-02-11,761008.347,2020,2,7,1,False,False,False,False,False,13.600000000000001,18.060000000000002,10.16,1.52,12.32,9.748000000000001,7.5,7.900000000000002,4.399999999999999,0.0,0.6612634749656386,0.7501537286959042,0.7465727613654504,0.6653037742168356,749504.414,747892.827,807001.677,844416.079,799138.409,734802.1438571429,766725.3363928571,735364.3506071428,46008.6921050444,64497.817542508965,1611.5869999999413
2020-02-12,766558.356,2020,2,7,2,False,False,False,False,False,12.820000000000002,15.0,11.16,0.52,10.580000000000002,5.720000000000001,4.4,3.84,5.179999999999998,0.0,0.6740694616546161,0.7386679638813748,0.7465727613654504,0.6653037742168356,761008.347,758987.788,792162.501,832910.293,797839.046,736675.7895714287,763746.4888214285,734901.1945357143,46889.273392180774,62677.1628887461,2020.5590000000084
2020-02-13,759532.177,2020,2,7,3,False,False,False,False,False,13.74,18.12,10.92,0.26,12.540000000000001,9.412,4.4,7.200000000000001,4.26,0.0,0.6866759803451553,0.726963615332308,0.7465727613654504,0.6653037742168356,766558.356,769754.643,778203.546,822827.255,794299.138,737757.2992857143,761376.7767857143,734442.2822678571,47572.013157469635,61202.32445204499,-3196.287000000011
2020-02-14,753954.141,2020,2,7,4,False,False,False,False,False,12.74,17.68,9.14,0.020000000000000004,10.32,11.686,7.0,8.54,5.26,0.0,0.6990793005655562,0.7150441465537444,0.7465727613654504,0.6653037742168356,759532.177,772488.589,765448.598,807653.787,790637.803,736296.9469999999,759116.2382857144,733831.6340178571,46572.46237180652,60005.778212487014,-12956.412000000011
2020-02-15,675832.097,2020,2,7,5,True,False,False,False,False,12.3,18.1,7.720000000000001,0.0,14.040000000000001,13.23,5.9,10.38,5.699999999999999,0.0,0.7112757519738152,0.7029130847082615,0.7465727613654504,0.6653037742168356,753954.141,698199.59,681471.943,729673.024,706487.416,733649.1687142857,757198.3937857143,733768.6077857144,44659.511768837045,59250.40657850479,55754.55099999998
2020-02-16,625453.407,2020,2,7,6,True,False,False,False,False,13.780000000000001,19.0,10.04,0.0,17.380000000000003,13.478,7.4,8.96,4.219999999999999,0.0,0.7232617254437388,0.6905740195722293,0.7465727613654504,0.6653037742168356,675832.097,646787.156,625016.468,689820.886,656688.443,730453.8125714286,755275.5035357142,733929.6123214286,48272.664785607914,61023.91347587245,29044.94099999999
2020-02-17,739797.699,2020,2,8,0,False,False,False,False,False,13.260000000000002,19.02,9.56,0.9600000000000002,15.440000000000001,10.392000000000001,6.199999999999999,9.459999999999999,4.739999999999998,0.0,0.7350336741329413,0.6780306024735382,0.821085063680431,0.5708058498306605,625453.407,749504.414,729329.082,846106.888,779646.845,727406.134142857,752976.665,734005.7751964286,54683.114905665454,64683.642039001206,-124051.00699999998
2020-02-18,766371.869,2020,2,8,1,False,False,False,False,False,12.24,15.380000000000003,9.32,0.38,11.620000000000001,8.658,8.3,6.060000000000002,5.76,0.0,0.746588114532413,0.6652865452111116,0.821085063680431,0.5708058498306605,739797.699,761008.347,747892.827,862132.604,789997.493,726019.4605714285,749179.9082500001,735152.486892857,54149.81562991936,62082.41307549931,-21210.64799999993
2020-02-19,764941.248,2020,2,8,2,False,False,False,False,False,11.74,16.700000000000003,7.76,0.0,12.18,12.734000000000002,7.4,8.940000000000003,6.26,0.0,0.7579216274973472,0.6523456189565257,0.821085063680431,0.5708058498306605,766371.869,766558.356,758987.788,841706.187,785631.268,726785.6780000001,745759.882,737727.9199107143,54761.909305899535,58142.17891682525,-186.48700000008103
2020-02-20,763651.659,2020,2,8,3,False,False,False,False,False,11.32,17.740000000000002,6.180000000000001,0.0,13.240000000000002,15.174000000000001,6.1,11.560000000000002,6.68,0.0,0.7690308592589181,0.6392116531380588,0.821085063680431,0.5708058498306605,764941.248,759532.177,769754.643,829427.103,781135.556,726554.6625714286,743018.2770357142,741718.7900892858,54569.234761601925,55185.08332703638,5409.070999999996
2020-02-21,753744.734,2020,2,8,4,False,False,False,False,False,12.280000000000001,18.520000000000003,7.540000000000001,0.0,12.260000000000002,14.82,4.6,10.980000000000002,5.719999999999999,0.0,0.7799125224167177,0.6258885343075018,0.821085063680431,0.5708058498306605,763651.659,753954.141,772488.589,821136.183,771083.106,727143.1599999999,740669.1540357143,744065.7730178571,55004.62810281165,52715.29366510215,9697.51800000004
2020-02-22,672072.47,2020,2,8,5,True,False,False,False,False,12.24,19.86,6.340000000000001,0.0,10.24,15.73,5.300000000000001,13.52,5.76,0.0,0.7905633969115482,0.612380204990065,0.821085063680431,0.5708058498306605,753744.734,675832.097,698199.59,734265.345,689175.82,727113.2447142856,738262.3165714286,745487.099125,54987.67051045259,50392.601898302804,77912.6370000001
2020-02-23,620872.08,2020,2,8,6,True,False,False,False,False,12.9,20.740000000000002,6.86,0.0,11.38,16.080000000000002,4.199999999999999,13.880000000000003,5.1,0.0,0.8009803309782905,0.5986906625177214,0.821085063680431,0.5708058498306605,672072.47,625453.407,646787.156,676369.262,637452.604,726576.1551428571,736041.1424642857,745935.4802142858,55587.13124875336,51922.722353438156,46619.062999999966
2020-02-24,730827.761,2020,2,9,0,False,False,False,False,False,12.8,20.96,6.300000000000001,0.0,10.860000000000001,16.272000000000002,4.0,14.66,5.199999999999999,0.0,0.8111602420785621,0.5848239578463322,0.8837064606214575,0.46804154885639837,620872.08,739797.699,749504.414,807615.701,750831.906,725921.6798571429,734059.10025,745999.8889285715,56985.55066468254,55238.32119946454,-118925.61900000006
